problem,num_obj,phase,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_N_Ss,iNSGAIII_N_Ss,iRVEA_FEs,iNSGAIII_FEs
DTLZ3,6,decision,0.21080372112673645,0.17224101223598542,,,389,367,230328,226800
DTLZ3,7,learning,0.30885250407373777,0.3851652800799819,,,284,220,205254,235200
DTLZ3,7,decision,0.15099289636200075,0.2002843754768207,,,269,56,187418,176400
DTLZ3,8,learning,0.5304346411936272,0.6387034201848383,,,305,278,271024,384000
DTLZ3,8,decision,0.34851744933978224,0.3659443192027918,,,346,110,281152,288000
DTLZ3,9,learning,0.5465747998537602,0.34910619638484736,,,373,523,310662,597600
DTLZ3,9,decision,0.2262051705825452,0.20647471763536013,,,360,300,271638,448200
DTLZ4,3,learning,0.1207533592767526,0.08703391290348413,32.27635859926595,32.49241751829248,151,423,107112,127200
DTLZ4,3,decision,0.08834100847917883,0.06773574089668051,25.663405078601635,25.924497373241692,247,307,92286,95400
DTLZ4,4,learning,0.45649357610224306,0.4529612946810049,,,291,482,171256,192000
DTLZ4,4,decision,1.0536070737381018,1.055216436064788,,,325,358,141656,144000
DTLZ4,5,learning,0.7184076577646926,0.7166097262343706,,,475,506,234530,252000
DTLZ4,5,decision,0.9467832148687525,0.9665640419104516,,,375,374,192710,189000
DTLZ4,6,learning,0.7990809529798962,0.8415680641248099,,,476,501,282000,302400
DTLZ4,6,decision,1.232003871080186,1.1923336058880454,,,386,377,230688,226800
DTLZ4,7,learning,0.7612388199592114,0.5951459390628671,,,242,310,158620,235200
DTLZ4,7,decision,0.45964248282695486,0.356940193606165,,,183,241,120176,176400
DTLZ4,8,learning,3.4135721292404897,0.5918447568879204,,,348,484,230112,384000
DTLZ4,8,decision,0.48542012224242215,0.32785867600817714,,,378,361,294992,288000
DTLZ4,9,learning,0.9375108356505089,0.7400730653937815,,,692,662,571608,597600
DTLZ4,9,decision,1.3246955152070705,1.3406386390893705,,,518,498,453420,448200
DTLZ1,3,learning,2.3890209427513955,2.2520756805118594,32.003090636443325,33.40981928291056,9,422,76884,127200
DTLZ1,3,decision,1.749028061202037,1.7403509593279733,25.333246819139962,25.598945795389536,140,316,94596,95400
DTLZ1,4,learning,2.2748567887997573,2.257942961015207,,,212,265,112840,192000
DTLZ1,4,decision,1.7090963250196478,1.7050697249925548,,,337,360,135232,144000
DTLZ1,5,learning,2.8550121064382674,2.588475496437428,,,148,504,139120,252000
DTLZ1,5,decision,1.9108591209284531,1.925358394771396,,,389,356,180070,189000
DTLZ1,6,learning,2.4340386598548425,2.4381784173544534,,,489,189,206520,302400
DTLZ1,6,decision,1.8620807078842332,1.8926010854021902,,,388,291,214536,226800
DTLZ1,7,learning,3.089656948095262,3.4054616580297905,,,253,266,169386,235200
DTLZ1,7,decision,1.9568529116455475,2.0724190570803014,,,270,167,183484,176400
DTLZ1,8,learning,2.952068549856863,2.8667006723276436,,,357,416,227664,384000
DTLZ1,8,decision,2.636734556604978,2.616295133099453,,,380,302,282672,288000
DTLZ1,9,learning,2.4854968339208856,2.4788080537723527,,,651,348,446148,597600
DTLZ1,9,decision,1.7330179671207033,1.7332674449018042,,,516,32,441468,448200
DTLZ2,3,learning,0.08918148597043296,0.09542203131274553,33.24259299142165,33.19433150482802,160,419,97182,127200
DTLZ2,3,decision,0.07381566262237511,0.03296577671815147,25.283988922342168,25.90861902592126,143,304,63468,95400
DTLZ2,4,learning,0.26731824382620795,0.28741170640982916,,,328,472,111888,192000
DTLZ2,4,decision,1.784266055033991,0.6880869606647462,,,9,358,5272,144000
DTLZ2,5,learning,0.8334823335019754,0.4059134202363465,,,324,506,157180,252000
DTLZ2,5,decision,0.20855930621252292,0.049575876392532955,,,254,362,122910,189000
