problem,num_obj,phase,iRVEA_R_IGD_mean,iRVEA_R_IGD_std,iNSGAIII_R_IGD_mean,iNSGAIII_R_IGD_std,iRVEA_R_HV_mean,iRVEA_R_HV_std,iNSGAIII_R_HV_mean,iNSGAIII_R_HV_std,iRVEA_N_Ss_mean,iRVEA_N_Ss_std,iNSGAIII_N_Ss_mean,iNSGAIII_N_Ss_std,iRVEA_FEs_mean,iRVEA_FEs_std,iNSGAIII_FEs_mean,iNSGAIII_FEs_std
DTLZ3,8,learning,0.5881901383256771,0.09989217270842071,1.0167859288040824,0.43001472825685144,,,,,357.14285714285717,74.0683633475156,244.85714285714286,44.08356319783698,280346.6666666667,45752.3678839044,384000.0,0.0
DTLZ3,8,decision,0.5591421508542039,0.39698677927925646,1.246401289513101,1.5924980595628868,,,,,298.6190476190476,135.2980752302032,117.04761904761905,47.671970591169725,233936.7619047619,104280.99936773613,288000.0,0.0
DTLZ3,9,learning,0.6101156818977735,0.3067712421074024,0.8570589234985135,0.4636244102703953,,,,,474.57142857142856,69.21847498256203,495.3333333333333,46.42488385844214,411815.14285714284,76073.23749318071,597600.0,0.0
DTLZ3,9,decision,0.3273670197859796,0.1361882535872699,0.9597653538306813,0.8069074124627739,,,,,432.42857142857144,111.34141890880433,225.28571428571428,62.85140666467133,343458.0,94102.99119581694,448200.0,0.0
DTLZ4,3,learning,0.10536110249572525,0.02859706670384519,0.07036892915758741,0.024862650411955237,32.74402782440112,0.33499616785075453,32.92734074694021,0.31158913200240196,157.0952380952381,31.072733050522363,421.3333333333333,1.6426846010152705,107485.71428571429,4066.1070787068807,127200.0,0.0
DTLZ4,3,decision,0.08505879660630672,0.046909044876244727,0.07690996723677099,0.04023160916831427,25.72155984845821,0.32505557912312266,25.892655150151107,0.3564039493076127,221.57142857142858,28.551659827610106,307.42857142857144,5.811084880036876,89427.42857142857,3968.395244469297,95400.0,0.0
DTLZ4,4,learning,0.2554623325837519,0.12804224276388582,0.17105895201557206,0.17877063889304542,,,,,281.76190476190476,11.096566444088577,482.2857142857143,0.880630571852711,169013.33333333334,6051.502806925088,192000.0,0.0
DTLZ4,4,decision,0.6363353254023087,0.4370058093207949,0.6168245503125283,0.42973597025687055,,,,,335.5238095238095,7.52531630481592,356.42857142857144,2.013559477320569,142216.0,2098.2597778249706,144000.0,0.0
DTLZ4,5,learning,0.7472282486709277,0.7475521972483083,0.5358978810891243,0.35842127507972754,,,,,425.23809523809524,83.44254068742083,504.85714285714283,3.151503258623675,224265.7142857143,38506.83211753326,252000.0,0.0
DTLZ4,5,decision,0.6272096690372523,0.40410369768147525,0.6496133569960675,0.4450791491338179,,,,,361.3809523809524,45.02536448172317,373.23809523809524,1.7702505043277244,186998.57142857142,22701.781823442485,189000.0,0.0
DTLZ4,6,learning,0.5228685693841352,0.19879904303916204,0.47140642168983876,0.24696145344945153,,,,,483.7142857142857,14.674704043881437,504.3333333333333,2.232515841853532,280748.0,3146.2202266029813,302400.0,0.0
DTLZ4,6,decision,0.5537515171260544,0.46203629728524254,0.5185492097335641,0.46032299325640247,,,,,384.95238095238096,2.419684955411905,375.85714285714283,3.012445838844706,230480.0,1674.4739045870072,226800.0,0.0
DTLZ4,7,learning,1.2670157391057875,0.8887840324018526,0.7005846653398188,0.15134197342164624,,,,,297.0952380952381,62.651648222080404,329.9047619047619,12.705097446843407,172607.33333333334,38083.0496094464,235200.0,0.0
DTLZ4,7,decision,0.7472673626734537,0.34953496290595126,0.64471804736065,0.3540728119580142,,,,,243.85714285714286,38.49958034933407,248.23809523809524,5.397572310592287,168478.66666666666,30594.817658478627,176400.0,0.0
DTLZ4,8,learning,2.2602411194784215,1.3825664439970387,0.664749227781933,0.08907622281261249,,,,,393.1904761904762,92.36862951684874,483.2857142857143,1.4846149779161806,259204.57142857142,74121.59772426171,384000.0,0.0
