problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_N_Ss,iNSGAIII_N_Ss,iRVEA_FEs,iNSGAIII_FEs
DTLZ1,9,5,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 2.22044605e-16 2.22044605e-16 2.22044605e-16 9.92516331e-02
 1.76076427e-01]",0.6665567822848242,0.6917333220468029,,,173,155,143910,149400
DTLZ1,9,6,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 2.22044605e-16 2.22044605e-16 2.22044605e-16 8.51263690e-02
 1.57714135e-01]",0.657740704779609,0.6701358802977968,,,173,155,156600,149400
DTLZ1,9,7,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 2.22044605e-16 2.22044605e-16 2.22044605e-16 8.51263690e-02
 1.57714135e-01]",0.6427017978465468,0.6526777810726172,,,173,159,156600,149400
DTLZ2,9,1,100,"[6.00399468e-20 1.14338219e-19 0.00000000e+00 1.38562441e-19
 1.58925683e-19 1.25581168e-19 0.00000000e+00 6.28620909e-17
 1.02662682e+00]",0.0428995667463687,0.02898033015028322,,,132,162,65322,149400
DTLZ2,9,2,100,"[5.07846265e-52 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.81881551e-01
 2.45470388e-01]",0.14823558516291935,0.13466641448194921,,,151,165,85896,149400
DTLZ2,9,3,100,"[5.07846265e-52 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.83257304e-01 2.45814326e-01
 0.00000000e+00]",0.1470971424602009,0.15487544387266666,,,165,152,82692,149400
DTLZ2,9,4,100,"[5.07846265e-52 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.32072374e-01 3.10690791e-01 3.10690791e-01 0.00000000e+00
 0.00000000e+00]",0.17603799842809428,0.07288891016428797,,,53,162,15210,149400
DTLZ2,9,5,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 2.22044605e-16 2.22044605e-16 9.35559587e-01 2.07022489e-01
 2.22044605e-16]",0.15861187611183514,0.13073985087197681,,,8,158,9396,149400
DTLZ2,9,6,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 2.22044605e-16 2.22044605e-16 9.51434353e-01 2.22897254e-01
 2.22044605e-16]",0.13526800038086556,0.14556457211250612,,,81,154,30024,149400
DTLZ2,9,7,100,"[2.22044605e-16 2.22044605e-16 2.22044605e-16 2.22044605e-16
 2.22044605e-16 2.22044605e-16 9.49333077e-01 2.21640435e-01
 2.22044605e-16]",0.13438097155486237,0.13904693938197005,,,128,158,101700,149400
DTLZ3,9,1,100,"[6.21893381e-18 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.94881529e+02 1.96587686e+02
 0.00000000e+00]",0.13949972214472423,0.3874639784068745,,,119,162,123120,149400
