problem,num_obj,phase,iRVEA_RP_R_IGD,iRVEA_Ranges_R_IGD,iRVEA_RP_R_HV,iRVEA_Ranges_R_HV,iRVEA_RP_N_Ss,iRVEA_Ranges_N_Ss,iRVEA_RP_FEs,iRVEA_Ranges_FEs
DTLZ3,8,decision,0.1262074932963277,0.049846195157341774,,,373,251,285808,392656
DTLZ3,9,learning,0.3264947095078921,1.5272989862912107,,,484,542,511578,587754
DTLZ3,9,decision,1.4537391206055355,0.2367155508243292,,,24,555,28458,523692
DTLZ4,3,learning,0.09923553988679715,0.11903602868569688,34.54436924209107,35.86301444830248,324,261,108144,93048
DTLZ4,3,decision,0.1097673195738477,0.24992961166124938,25.5728361292881,24.26334434890118,262,71,91464,97428
DTLZ4,4,learning,0.11189957371002074,0.31299277021789884,,,419,373,177480,142608
DTLZ4,4,decision,0.09801126315167893,0.14857936489989637,,,313,90,142152,124632
DTLZ4,5,learning,0.4131335500709713,0.6273094702698992,,,501,559,234590,258440
DTLZ4,5,decision,0.11636633605020977,0.13380731890697273,,,355,129,190450,157520
DTLZ4,6,learning,0.28533280987419796,0.6825239137660464,,,491,479,293892,267564
DTLZ4,6,decision,0.21088482310649026,0.1184602438164361,,,383,289,228000,261180
DTLZ4,7,learning,0.31759862652963866,8.377279167089092,,,143,16,90734,11200
DTLZ4,7,decision,0.43819041992974206,6.085831202079528,,,114,12,83174,8400
DTLZ4,8,learning,0.5848982575700283,1.125367191966042,,,502,580,372512,429152
DTLZ4,8,decision,0.4848304296514755,0.10891930452077855,,,377,392,295776,371440
DTLZ4,9,learning,0.7701217103117036,1.4889468757052655,,,688,788,577206,671292
DTLZ4,9,decision,0.5249554479502128,0.1209007274092116,,,511,355,458028,536130
DTLZ1,3,learning,2.7352106152126283,2.765299193731427,35.791307264461985,35.140747700706896,52,157,109092,119748
DTLZ1,3,decision,2.404694877203985,2.3827093820499354,25.321057614847515,25.773575859659125,309,123,92082,108174
DTLZ1,4,learning,2.654069158179751,2.7372291097412598,,,352,183,150112,143872
DTLZ1,4,decision,1.7551715058817317,1.7213309683704807,,,369,432,141368,168992
DTLZ1,5,learning,2.651341955832162,2.727603538985765,,,399,354,217820,203810
DTLZ1,5,decision,2.114186916951016,2.09451026198972,,,387,480,194220,232830
DTLZ1,6,learning,3.0161399735368475,3.2978582607762537,,,249,436,275352,310716
DTLZ1,6,decision,1.8378010738291346,1.7579968096666214,,,382,501,215640,280008
DTLZ1,7,learning,2.6772145614915495,3.252128505737428,,,334,15,215474,205660
DTLZ1,7,decision,1.7648693250361553,1.72324164985975,,,270,9,185528,274750
DTLZ1,8,learning,2.8130376667304855,3.4124394479993634,,,476,38,337120,321904
DTLZ1,8,decision,2.0816811072826864,1.958851657264254,,,381,391,289968,396864
DTLZ1,9,learning,3.0989642440232394,4.078123254386331,,,639,716,532638,624816
DTLZ1,9,decision,1.8925372810500496,1.8847403102753097,,,518,679,448524,591660
DTLZ2,3,learning,0.03473850690715633,0.3216318776387892,32.32087281013533,32.0,196,16,95700,5112
DTLZ2,3,decision,1.7333614209043486,1.7333614209043486,14.055785490809583,14.055785490809583,2,12,3912,3600
DTLZ2,4,learning,0.12377521573421041,0.29232170366278437,,,357,228,150192,59744
DTLZ2,4,decision,2.025714270419991,2.0257142704207602,,,7,12,5280,4800
DTLZ2,5,learning,0.21100817700258365,0.9676331969909989,,,407,320,157090,121910
DTLZ2,5,decision,1.1312052278454603,1.2754471521309645,,,377,341,170230,195570
DTLZ2,6,learning,0.3829343368998437,0.6980527610482266,,,457,402,224364,194136
DTLZ2,6,decision,0.22810534951506006,0.18722998406004548,,,364,246,214992,269688
DTLZ2,7,learning,0.6624138887968798,0.7949557832362708,,,171,52,100702,110978
DTLZ2,7,decision,4.847711889335165,4.847711889335165,,,18,21,16800,16800
DTLZ2,8,learning,0.7096060050407462,0.8698580934360245,,,307,578,170848,354640
DTLZ2,8,decision,5.1235208443988185,1.3380497637312727,,,21,525,19680,378192
DTLZ2,9,learning,0.3669504588026039,0.6483117222667322,,,569,238,332712,197442
DTLZ2,9,decision,5.385222476737106,5.385222476108352,,,24,30,28332,27180
DTLZ3,3,learning,0.07762973885069516,1.2289595544678875,35.083991152954155,25.128526701593465,114,10,103374,6216
DTLZ3,3,decision,0.09851134303093534,0.08536198603858333,26.14560800900275,25.469978333458798,306,8,93798,91632
DTLZ3,4,learning,0.5921207485955297,0.6066481681585196,,,95,90,126200,125264
DTLZ3,4,decision,0.44242273714796687,0.2588893465061118,,,12,130,58144,164112
DTLZ3,5,learning,0.27371783726467436,0.5737695555772688,,,380,128,219030,235230
DTLZ3,5,decision,1.1123185093251797,1.1123185093251797,,,12,12,9620,9730
DTLZ3,6,learning,0.429964241760015,0.76284023791274,,,229,276,257040,249504
DTLZ3,6,decision,0.2432605365194278,0.13909512264386126,,,288,320,147252,254052
DTLZ3,7,learning,0.2202742062526161,0.5562771071493633,,,207,110,181272,141456
DTLZ3,7,decision,0.28916595934029604,0.32997244115635554,,,154,321,171570,242830
DTLZ3,8,learning,1.4964243097502692,1.421659374387642,,,257,66,239136,254704
DTLZ3,8,decision,0.4683985319782693,0.24832588453844168,,,30,124,20176,360416
DTLZ3,9,learning,0.6031675411717734,1.625372952798041,,,525,543,392184,499176
DTLZ3,9,decision,0.12586694717428118,0.06381528052657665,,,510,310,435078,567144
DTLZ4,3,learning,0.04994588784263095,1.9226216785472143,32.18650540120734,24.999999918494943,220,25,112710,25626
DTLZ4,3,decision,0.19377773192688436,0.33048308644915114,24.651402231908403,24.013125544845096,209,20,90174,75264
DTLZ4,4,learning,0.41650626501198085,0.49178664653548393,,,420,401,165256,133616
DTLZ4,4,decision,0.1523702634381002,0.21744599023826788,,,315,94,144592,151416
DTLZ4,5,learning,4.571581097028109,0.9511148166135587,,,100,430,35300,199560
DTLZ4,5,decision,2.149935603612594,1.0650981670586237,,,94,182,46070,180810
DTLZ4,6,learning,0.5885740646029878,3.0553583966250724,,,486,259,277620,130644
DTLZ4,6,decision,0.2179419993055447,0.12597257351106816,,,386,201,231648,252144
DTLZ4,7,learning,0.7104212701440528,3.6691370030974886,,,352,344,217098,212296
DTLZ4,7,decision,0.4938354289020684,0.11539274226469412,,,265,210,189336,228914
DTLZ4,8,learning,0.8876823059689265,1.5771584263814251,,,496,580,355008,429824
DTLZ4,8,decision,1.1643401056426599,0.9901815554219917,,,381,457,295840,376992
DTLZ4,9,learning,1.1595135554036746,1.9145734807382384,,,688,789,579006,684594
DTLZ4,9,decision,0.5050721330291736,0.12680293068582799,,,516,311,457920,485550
DTLZ1,3,learning,2.4271452661043575,2.8818228255218528,33.658456926843506,29.31202262669233,169,2,82056,22500
DTLZ1,3,decision,1.9805030823363237,1.9830803939268495,24.575080083905668,25.424581544952964,311,40,90486,107838
DTLZ1,4,learning,2.7611679309785213,2.9155516401620347,,,284,197,160880,182336
DTLZ1,4,decision,1.698697406217283,1.6898062392389102,,,355,263,132440,169920
DTLZ1,5,learning,2.8833843430242414,3.0303081006880945,,,344,60,240800,235800
DTLZ1,5,decision,2.111387166795127,2.123149644505218,,,390,341,189750,206230
DTLZ1,6,learning,2.6606010808283833,2.972416671374123,,,283,559,266868,320208
DTLZ1,6,decision,1.7202057892819436,1.7142356377464574,,,390,356,213624,285588
DTLZ1,7,learning,2.5709314485251413,3.0447181901481883,,,147,424,217336,269766
DTLZ1,7,decision,1.7139807983535928,1.7790718140474309,,,266,22,186214,17584
DTLZ1,8,learning,3.002088047860007,3.6150914216231063,,,135,524,347712,408208
DTLZ1,8,decision,1.7157218711422222,1.7266434376257602,,,221,39,272736,23488
DTLZ1,9,learning,2.8572695477511285,3.362444997769564,,,623,766,531990,598392
DTLZ1,9,decision,2.6726691637016935,2.561522212871088,,,511,471,455094,591966
DTLZ2,3,learning,0.593494772059498,0.7366617327183185,28.459249275453278,28.298217558187154,113,15,58482,5112
DTLZ2,3,decision,0.18340664392043926,0.34862526530526,24.649344676921352,23.534254185909703,188,18,72138,10956
DTLZ2,4,learning,1.3610579581333864,1.174283083164166,,,88,358,44800,131736
DTLZ2,4,decision,0.9882608053188264,0.06318515048484578,,,9,113,4800,158864
DTLZ2,5,learning,0.17009677477183632,0.45924579216191125,,,430,258,179140,80760
DTLZ2,5,decision,1.132802176409648,1.3234621445542942,,,368,217,179140,182520
DTLZ2,6,learning,0.32384428976460966,0.46598775565774425,,,471,384,221796,195444
DTLZ2,6,decision,1.2427218933576065,1.6024763692940447,,,387,342,209052,150996
DTLZ2,7,learning,0.26536165375912596,0.7814188426153473,,,252,342,129458,249578
DTLZ2,7,decision,0.1414661308368163,0.06941507985742329,,,259,152,175308,187194
DTLZ2,8,learning,0.2500445964706945,0.514240666905478,,,409,305,235280,156400
DTLZ2,8,decision,5.123520838987152,1.3027687731416033,,,21,512,20016,351632
DTLZ2,9,learning,1.0806876039758426,1.2083973133780788,,,258,81,183276,129114
DTLZ2,9,decision,5.385222476735999,2.4199000758976315,,,24,339,27000,227610
DTLZ3,3,learning,0.08860883659942616,1.1926558900959823,35.317830432815676,27.640854845919172,134,9,92460,39606
DTLZ3,3,decision,0.06737501428997708,0.05247120965788376,26.266284709234455,26.36893015149358,216,47,83478,82314
DTLZ3,4,learning,0.0818342122872529,0.5247927883008198,,,165,10,163696,37872
DTLZ3,4,decision,0.2116075601915115,0.42069510368790675,,,310,10,125040,4920
